Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Mara Hames,F,SBD,Raw,25,24-34,24-39,Open,75.1,76,175,182.5,-190,,182.5,95,100,-105,,100,177.5,185,190,,190,472.5,17,459.88,448.80,394.77,93.69,Yes,Germany,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Monica de La Torre,F,SBD,Raw,27.5,24-34,24-39,Open,51.85,52,125,132.5,135,,135,90,92.5,95,,95,150,160,-165,,160,390,11,476.33,487.27,431.97,98.72,Yes,Mexico,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Martina Malzová,F,SBD,Raw,27.5,24-34,24-39,Open,51.65,52,122.5,127.5,132.5,,132.5,65,-67.5,67.5,,67.5,165,172.5,-177.5,,172.5,372.5,13,456.18,466.80,413.88,94.61,Yes,Czechia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Miriam Amri,F,SBD,Raw,27.5,24-34,24-39,Open,56.7,57,147.5,157.5,-162.5,,157.5,77.5,82.5,-85,,82.5,182.5,192.5,-197.5,,192.5,432.5,9,497.23,503.95,445.65,101.85,Yes,Netherlands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mayara Soares,F,SBD,Raw,30.5,24-34,24-39,Open,46.7,47,117.5,125,-130,,125,62.5,65,67.5,,67.5,122.5,130,135,,135,327.5,11,431.25,442.49,394.65,91.36,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kim Grech,F,SBD,Raw,31.5,24-34,24-39,Open,72.2,76,105,112.5,125,,125,57.5,62.5,67.5,,67.5,120,130,142.5,,142.5,335,25,333.02,326.37,287.46,67.74,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Lyudmila Bichok,F,SBD,Raw,32,24-34,24-39,Open,75.7,76,177.5,185,190,,190,110,117.5,-120,,117.5,197.5,210,-217.5,,210,517.5,9,501.58,489.13,430.10,102.22,Yes,Ukraine,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Catherine Portelli,F,SBD,Raw,33.5,24-34,24-39,Open,122.5,84+,-165,165,170,,170,70,75,77.5,,77.5,200,210,220,,220,467.5,11,372.99,372.47,315.25,79.87,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Zahra Al Ammar,F,SBD,Raw,33.5,24-34,24-39,Open,62.9,63,137.5,145,150,,150,67.5,75,-77.5,,75,175,182.5,190,,190,415,12,446.77,446.23,394.04,90.89,Yes,Saudi Arabia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Lorna Cachia,F,SBD,Raw,34.5,24-34,24-39,Open,62.25,63,145,147.5,-152.5,,147.5,65,-70,-70,,65,160,-165,-165,,160,372.5,15,403.57,403.71,356.53,82.13,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Emily zur Linden,F,SBD,Raw,35.5,35-39,24-39,Open,61.95,63,170,175,180,,180,95,100,102.5,,102.5,182.5,190,-202.5,,190,472.5,6,513.44,513.97,453.94,104.51,Yes,Canada,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Shanel Mallia,F,SBD,Raw,35.5,35-39,24-39,Open,50.4,52,107.5,110,112.5,,112.5,55,60,62.5,,62.5,120,125,127.5,,127.5,302.5,23,376.90,386.26,342.84,78.51,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ana Lucia Ruiz Vasquez,F,SBD,Raw,36.5,35-39,24-39,Open,46.95,47,120,125,127.5,,127.5,57.5,-60,-60,,57.5,140,150,-155,,150,335,9,439.38,450.89,401.97,92.96,Yes,Peru,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jonna Alanko,F,SBD,Raw,36.5,35-39,24-39,Open,68.2,69,145,152.5,157.5,,157.5,82.5,87.5,-92.5,,87.5,170,177.5,-182.5,,177.5,422.5,20,433.61,428.05,377.53,88.11,Yes,Finland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Daniela Vella,F,SBD,Raw,37.5,35-39,24-39,Open,82.1,84,125,-135,135,,135,57.5,60,62.5,,62.5,160,170,180,,180,377.5,19,351.20,340.60,298.24,71.94,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Maja Vaha,F,SBD,Raw,39.5,35-39,40-49,Open,90,84+,-130,130,140,,140,82.5,87.5,-92.5,,87.5,155,162.5,167.5,,167.5,395,13,352.15,341.31,296.67,72.74,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jung Liu,M,SBD,Raw,26.5,24-34,24-39,Open,103.05,105,265,282.5,295,,295,162.5,172.5,-180,,172.5,310,325,332.5,,332.5,800,18,486.19,481.28,459.55,99.64,Yes,Taiwan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mohammad Morad Niay Shirjouposht,M,SBD,Raw,34.5,24-34,24-39,Open,119.7,120,310,322.5,332.5,,332.5,190,-195,-195,,190,305,320,-330,,320,842.5,11,484.26,484.65,464.41,98.04,Yes,Iran,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Liang Huang,M,SBD,Raw,18.5,18-19,19-23,Open,69.55,74,-105,105,112.5,,112.5,45,55,-60,,55,125,-140,140,,140,307.5,22,232.02,231.58,224.49,46.63,Yes,China,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Angelos Almouti,M,SBD,Raw,21.5,20-23,19-23,Open,82.3,83,220,-232.5,-232.5,,220,135,140,-142.5,,140,250,-265,265,,265,625,29,423.95,419.30,403.50,86.89,Yes,Greece,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Chun-Chia Fan,M,SBD,Raw,23.5,24-34,24-39,Open,73.25,74,235,252.5,-265,,252.5,190,200,205,,205,285,300,-305,,300,757.5,5,551.83,548.86,530.87,111.80,Yes,Taiwan,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Victor Santana,M,SBD,Raw,23,20-23,24-39,Open,82.1,83,225,237.5,-245,,237.5,132.5,-137.5,137.5,,137.5,260,275,-282.5,,275,650,27,441.52,436.71,420.30,90.47,Yes,Brazil,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Ian Pace,M,SBD,Raw,23.5,24-34,24-39,Open,82.55,83,205,220,227.5,,227.5,125,-132.5,132.5,,132.5,220,240,252.5,,252.5,612.5,30,414.76,410.17,394.65,85.02,Yes,Malta,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
